Date,Promo Power,Cost of BZ,Cost of Display,Cost of PLA,Cost of Search,TOT COST,COST exc BZ,GMV of BZ,GMV of Display,GMV of PLA,GMV of Search,TOT GMV,GMV exc BZ,Cost of BZ EC,Cost of Display EC,Cost of Display NC,Cost of PLA EC,Cost of PLA NC,Cost of Search EC,Cost of Search NC,COST ON EC exc BZ,COST on NC exc BZ
4/1/2021,0,3096,1121,8668,9471,22356,19260,102721,15291,89073,79571,286656,183935,3096,17,1104,882,7786,1482,7989,2380,16879
4/2/2021,2,2971,1405,11039,10327,25743,22771,132233,11886,132296,93781,370196,237963,2971,66,1339,1271,9768,1032,9295,2369,20402
4/3/2021,2,3291,1062,8031,8760,21144,17853,190559,20536,135666,106338,453100,262541,3291,36,1026,992,7039,1064,7696,2092,15761
4/4/2021,2,3316,1107,7521,8906,20850,17534,160113,11709,97342,86691,355854,195741,3316,60,1047,1063,6458,683,8223,1806,15728
4/5/2021,2,3363,1015,7113,8187,19677,16315,166378,22543,109577,86761,385258,218880,3363,24,991,1096,6016,746,7441,1866,14448
4/6/2021,0,3085,812,6780,6643,17321,14236,113407,9008,83085,76777,282278,168871,3085,13,799,939,5842,590,6053,1542,12694
4/7/2021,2,2977,803,6912,6772,17464,14487,126447,8302,75284,75570,285604,159157,2977,8,795,820,6092,431,6341,1259,13228
4/8/2021,2,2903,328,4445,5252,12927,10024,99311,3101,57760,53071,213242,113932,2903,5,322,518,3927,469,4783,993,9032
4/9/2021,2,2841,325,3538,4503,11207,8365,108169,4108,33095,53338,198710,90541,2841,4,321,362,3176,527,3976,893,7472
4/10/2021,2,3024,481,4292,5899,13697,10673,121871,4445,57041,60447,243805,121933,3024,4,477,385,3907,598,5302,987,9686
4/11/2021,2,3207,558,5094,6481,15340,12133,165521,5768,89019,88608,348916,183395,3207,9,549,512,4583,624,5856,1145,10988
4/12/2021,0,2921,538,3596,5843,12898,9977,129944,7989,43595,61397,242924,112981,2921,15,523,450,3146,558,5284,1023,8954
4/13/2021,0,2940,430,4181,5616,13167,10227,119403,6535,50763,63227,239928,120525,2940,9,420,513,3669,571,5045,1093,9134
4/14/2021,0,2911,1743,14304,10593,29551,26640,106900,33990,175856,86512,403257,296357,2911,38,1705,1861,12443,486,10107,2385,24255
4/15/2021,4,2942,2912,19846,13138,38838,35896,113458,26632,253983,93265,487338,373880,2942,398,2514,2946,16900,430,12708,3774,32122
4/16/2021,4,3032,4141,29967,16843,53983,50952,168875,60188,378280,133232,740575,571700,3032,486,3655,3193,26774,453,16390,4133,46819
4/17/2021,4,3407,2860,19873,15284,41425,38017,219197,28252,263867,162496,673812,454614,3407,261,2599,1875,17997,880,14404,3017,35001
4/18/2021,4,3282,1064,12353,15355,32055,28772,171677,10697,145036,170526,497935,326259,3282,74,990,1374,10978,1323,14032,2771,26001
4/19/2021,4,3193,1130,13932,14946,33200,30007,158151,9571,149941,145674,463337,305186,3193,141,989,1401,12531,1681,13265,3223,26784
4/20/2021,4,3072,1170,7489,8504,20235,17163,130723,11510,74043,62856,279132,148409,3072,102,1068,1067,6422,1508,6996,2676,14486
4/21/2021,4,3000,1404,5491,7810,17706,14706,128776,9168,57876,90231,286052,157275,3000,207,1197,692,4800,1636,6173,2535,12170
