Date,Promo Power,Cost of BZ,Cost of Display,Cost of PLA,Cost of Search,TOT COST,Cost exc BZ,GMV of BZ,GMV of Display,GMV of PLA,GMV of Search,TOT GMV,GMV exc BZ,Cost of BZ EC,Cost of Display EC,Cost of Display NC,Cost of PLA EC,Cost of PLA NC,Cost of Search EC,Cost of Search NC,Cost on EC exc BZ,Cost on NC exc BZ
4/1/2021,0,0,0,5556,4907,10463,10463,0,0,47299,56619,103919,103919,0,0,0,1015,4541,2492,2415,3507,6956
4/2/2021,2,0,0,3742,3957,7699,7699,0,0,29156,50051,79207,79207,0,0,0,640,3103,2475,1482,3115,4585
4/3/2021,2,0,0,7296,6487,13782,13782,0,0,58841,65672,124513,124513,0,0,0,1466,5830,2698,3788,4164,9618
4/4/2021,2,0,0,6829,7571,14400,14400,0,0,49684,67925,117609,117609,0,0,0,1230,5599,2445,5126,3675,10725
4/5/2021,2,0,0,4607,5350,9957,9957,0,0,46122,63622,109744,109744,0,0,0,777,3830,2706,2643,3483,6473
4/6/2021,0,0,0,1774,3602,5376,5376,0,0,22526,44610,67136,67136,0,0,0,270,1504,1788,1814,2058,3318
4/7/2021,2,6767,2880,7228,5251,22126,15359,87347,14401,71074,31222,204043,116696,6767,85,2795,1100,6128,953,4298,2137,13222
4/8/2021,2,5941,2726,7241,5230,21138,15197,88590,13600,98420,29895,230506,141915,5941,59,2667,1163,6078,813,4417,2035,13161
4/9/2021,2,6699,2309,9567,2950,21525,14826,73843,10640,101912,18234,204629,130787,6699,227,2082,1230,8337,972,1978,2429,12397
4/10/2021,2,24,8,6116,5402,11550,11526,989,0,60880,61734,123603,122614,24,1,7,851,5265,3048,2354,3899,7626
4/11/2021,2,0,0,6305,6124,12429,12429,0,0,68797,70487,139284,139284,0,0,0,947,5358,3409,2715,4356,8073
4/12/2021,0,0,0,1623,5004,6627,6627,0,0,16481,57182,73663,73663,0,0,0,254,1368,1561,3443,1816,4811
4/13/2021,0,0,0,2748,3680,6428,6428,0,0,26444,49618,76062,76062,0,0,0,493,2255,1554,2126,2047,4381
4/14/2021,0,0,0,3173,4339,7512,7512,0,0,27912,59140,87052,87052,0,0,0,776,2397,1882,2457,2659,4854
4/15/2021,4,4856,1369,12259,4889,23373,18517,57221,7815,89683,25931,180649,123429,4856,39,1330,2070,10189,1071,3819,3179,15338
4/16/2021,4,6276,1560,14013,5442,27291,21015,101980,15313,122609,33694,273596,171616,6276,133,1427,2037,11976,791,4651,2961,18054
4/17/2021,4,7174,2048,19398,7132,35751,28577,110324,16573,163732,46206,336836,226512,7174,482,1565,2365,17033,834,6298,3682,24896
4/18/2021,4,0,11,17422,9180,26613,26613,0,0,122416,67824,190241,190241,0,5,6,2263,15159,2376,6804,4644,21970
4/19/2021,4,0,0,15655,6816,22472,22472,0,0,108740,61330,170070,170070,0,0,0,2206,13450,2217,4599,4423,18048
4/20/2021,4,7155,0,18935,4729,30819,23664,73126,0,125599,28225,226951,153825,7155,0,0,3335,15600,1145,3585,4480,19185
4/21/2021,4,7908,0,21192,5022,34122,26214,72491,0,178980,20460,271932,199441,7908,0,0,3120,18072,638,4384,3757,22456
4/22/2021,4,8012,0,28303,8727,45042,37029,130965,0,280662,32497,444124,313159,8012,0,0,3996,24307,718,8009,4714,32316
4/23/2021,4,7550,0,18082,5887,31520,23969,152976,0,154847,42647,350469,197493,7550,0,0,2274,15809,728,5159,3001,20968
4/24/2021,4,8155,0,7888,4928,20971,12816,101205,0,59666,24760,185631,84426,8155,0,0,989,6899,612,4316,1601,11214
4/25/2021,4,6608,0,11716,4188,22512,15904,93104,0,85481,20969,199554,106450,6608,0,0,1629,10088,1665,2523,3294,12611
4/26/2021,4,5988,0,14801,6823,27612,21625,80211,0,74141,36467,190819,110608,5988,0,0,2193,12608,2659,4164,4852,16773
4/27/2021,0,40,0,11983,8042,20065,20025,401,0,70624,47790,118814,118413,40,0,0,1865,10118,3855,4187,5720,14305
4/28/2021,0,0,0,10146,6744,16890,16890,0,0,73410,57252,130661,130661,0,0,0,1533,8612,3377,3367,4910,11980
4/29/2021,4,6457,1519,12608,5501,26085,19628,90308,7658,106433,37727,242126,151818,6457,20,1499,1866,10742,2137,3364,4023,15605
4/30/2021,4,6918,2651,15753,7300,32622,25704,145679,19894,115074,55133,335780,190101,6918,4,2647,2357,13396,2041,5259,4403,21302
5/1/2021,4,8079,1567,15609,8240,33495,25416,140210,6244,96207,56740,299401,159191,8079,28,1539,2276,13334,2504,5736,4808,20609
5/2/2021,4,7662,1212,6206,5134,20214,12552,94668,2078,35647,37114,169507,74839,7662,57,1155,1141,5066,2255,2879,3453,9099
5/3/2021,4,6905,1129,4587,4382,17004,10099,90158,4136,23948,21265,139507,49349,6905,33,1097,1088,3499,1473,2909,2594,7505
5/4/2021,4,6663,583,4716,4893,16854,10191,95588,2300,36569,33805,168262,72674,6663,0,583,1045,3671,1409,3484,2454,7738
5/5/2021,4,6763,0,3578,4362,14703,7940,106603,0,24485,35586,166674,60071,6763,0,0,799,2778,1215,3147,2014,5926
5/6/2021,0,58,0,1475,4498,6030,5972,1694,0,8701,36020,46415,44721,58,0,0,185,1289,2692,1806,2878,3095
5/7/2021,3,0,0,4804,5162,9966,9966,0,0,23509,43440,66949,66949,0,0,0,684,4120,2679,2483,3363,6604
5/8/2021,3,0,0,3926,4902,8828,8828,0,0,18479,53281,71760,71760,0,0,0,929,2997,2299,2603,3227,5600
5/9/2021,3,0,0,2350,5573,7924,7924,0,0,21516,55773,77289,77289,0,0,0,572,1779,2524,3049,3096,4828
5/10/2021,0,0,0,2095,3423,5518,5518,0,0,19905,58166,78070,78070,0,0,0,357,1738,1961,1462,2318,3200
5/11/2021,0,0,0,3041,3955,6996,6996,0,0,28803,59604,88407,88407,0,0,0,643,2398,1464,2491,2107,4889
5/12/2021,0,0,0,3002,4718,7720,7720,0,0,34988,71725,106713,106713,0,0,0,622,2380,1458,3260,2079,5641
5/13/2021,0,0,0,2144,5458,7602,7602,0,0,22515,76508,99023,99023,0,0,0,448,1696,1931,3527,2379,5223
